Name,Age,Occupation,Hometown,Height,ElimWeek,Season
Amanda Marsh,23.0,Event Planner,"Chanute, Kansas",,,1
Trista Rehn,29.0,Miami Heat Dancer,"Miami, Florida",,6.0,1
Shannon Oliver,24.0,Financial Management Consultant,"Dallas, Texas",,5.0,1
Kim,24.0,Nanny,"Tempe, Arizona",,4.0,1
Cathy Grimes,22.0,Graduate Student,"Terra Haute, Indiana",,3.0,1
Christina,28.0,Attorney,"Bonita, California",,3.0,1
LaNease Adams,23.0,Actress,"Los Angeles, California",,3.0,1
Rhonda,28.0,Commercial Real Estate Agent,"Woodward, Oklahoma",,3.0,1
Alexa,27.0,Special Ed. Teacher,"Beverly Hills, California",,2.0,1
Amy,28.0,Production Coordinator,"New York, New York",,2.0,1
Angela,25.0,Hooters Waitress,"Avondale, Arizona",,2.0,1
Angelique,27.0,Actress,"Burbank, California",,2.0,1
Katie,23.0,Power Tool Sales Rep.,"Malden, Massachusetts",,2.0,1
Melissa,25.0,Photographer,"Tempe, Arizona",,2.0,1
Tina,27.0,Graduate Student,"Plano, Texas",,2.0,1
Amber,29.0,Business Development Director,"Los Angeles, California",,1.0,1
Daniela,30.0,Neuropsychologist,"Seattle, Washington",,1.0,1
Denise,30.0,Doctor,"Honolulu, Hawaii",,1.0,1
Jackie,22.0,Bar Manager,"Pittsburgh, Pennsylvania",,1.0,1
Jill,31.0,Retail Manager,"Chicago, Illinois",,1.0,1
Kristina,27.0,Advertising Executive,"Los Angeles, California",,1.0,1
Lisa,29.0,Attorney,"Dallas, Texas",,1.0,1
Paula,24.0,Insurance Representative,"Swansea, Massachusetts",,1.0,1
Rachel,29.0,6th Grade Teacher,"Eastchester, New York",,1.0,1
Wendi,26.0,Technology Specialist,"Dallas, Texas",,1.0,1
Helene Eksterowicz,27.0,School Psychologist,"Gloucester, New Jersey",,,2
Brooke Smith,22.0,College Student,"Albertville, Alabama",,7.0,2
Gwen Gioia,31.0,Executive Recruiter,"Philadelphia, Pennsylvania",,6.0,2
Angela,27.0,Registered Nurse,"Kansas City, Missouri",,5.0,2
Hayley,28.0,Retail Manager,"Lake Oswego, Oregon",,4.0,2
Heather Crawford,30.0,Flight Attendant,"Dallas, Texas",,4.0,2
